gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,GDP_per_capita,total_early_clicks
M,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,29325.385023898034,83.0
F,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,29325.385023898034,392.0
F,Lower Than A Level,10-20,35-55,0,60,N,Pass,30300.0,265.0
M,HE Qualification,,35-55,0,60,N,Pass,27200.0,286.0
F,A Level or Equivalent,,35-55,0,60,N,Pass,27200.0,244.0
M,HE Qualification,90-100%,55<=,0,60,N,Pass,29325.385023898034,1541.0
M,HE Qualification,,35-55,0,60,N,Pass,29325.385023898034,1430.0
M,HE Qualification,70-80%,35-55,0,60,N,Pass,29325.385023898034,680.0
F,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,29325.385023898034,92.0
M,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,29325.385023898034,594.0
F,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,29325.385023898034,395.0
F,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,29325.385023898034,668.0
M,A Level or Equivalent,10-20,0-35,0,180,N,Pass,29325.385023898034,223.0
M,HE Qualification,80-90%,35-55,0,170,N,Pass,29325.385023898034,346.0
M,HE Qualification,10-20,0-35,0,120,N,Fail,29325.385023898034,290.0
M,HE Qualification,30-40%,35-55,0,60,N,Pass,29325.385023898034,839.0
M,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,29325.385023898034,2489.0
M,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,29325.385023898034,978.0
M,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,29325.385023898034,469.0
F,Lower Than A Level,90-100%,0-35,0,60,N,Pass,29325.385023898034,677.0
M,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,29325.385023898034,170.0
M,Lower Than A Level,50-60%,35-55,0,60,N,Pass,29325.385023898034,233.0
F,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,29325.385023898034,826.0
M,HE Qualification,80-90%,35-55,0,60,N,Pass,29325.385023898034,634.0
M,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,29325.385023898034,234.0
F,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,29325.385023898034,942.0
M,HE Qualification,,0-35,0,180,N,Fail,27200.0,569.0
M,HE Qualification,60-70%,0-35,0,60,N,Pass,29325.385023898034,68.0
M,Lower Than A Level,50-60%,0-35,0,60,N,Pass,29325.385023898034,68.0
M,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,30300.0,215.0
M,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,29325.385023898034,174.0
M,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,29325.385023898034,521.0
M,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,29325.385023898034,156.0
M,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,29325.385023898034,154.0
M,HE Qualification,90-100%,55<=,0,60,N,Pass,29325.385023898034,491.0
M,HE Qualification,80-90%,0-35,0,80,N,Pass,29325.385023898034,60.0
M,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,29325.385023898034,161.0
M,HE Qualification,90-100%,35-55,0,60,N,Pass,29325.385023898034,633.0
F,HE Qualification,60-70%,35-55,0,60,N,Fail,29325.385023898034,344.0
M,HE Qualification,20-30%,35-55,0,60,N,Pass,29325.385023898034,211.0
M,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,29325.385023898034,398.0
M,Lower Than A Level,20-30%,0-35,0,90,N,Pass,29325.385023898034,688.0
M,Lower Than A Level,20-30%,35-55,0,60,N,Pass,29325.385023898034,1064.0
M,HE Qualification,10-20,0-35,0,120,N,Pass,29325.385023898034,131.0
F,Lower Than A Level,30-40%,0-35,0,60,N,Pass,30300.0,245.0
F,Lower Than A Level,70-80%,35-55,0,60,N,Pass,29325.385023898034,765.0
F,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,29325.385023898034,160.0
M,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,29325.385023898034,357.0
F,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,29325.385023898034,893.0
M,A Level or Equivalent,10-20,35-55,0,90,N,Fail,29325.385023898034,723.0
M,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,29325.385023898034,106.0
M,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,29325.385023898034,1010.0
F,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,29325.385023898034,998.0
M,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,29325.385023898034,354.0
F,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,29325.385023898034,131.0
M,Lower Than A Level,70-80%,35-55,0,60,N,Fail,29325.385023898034,77.0
M,HE Qualification,30-40%,0-35,0,60,N,Fail,29325.385023898034,49.0
M,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,29325.385023898034,838.0
M,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,29325.385023898034,112.0
M,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,29325.385023898034,214.0
M,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,29325.385023898034,585.0
M,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,29325.385023898034,115.0
M,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,29325.385023898034,1321.0
F,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,29325.385023898034,6.0
M,HE Qualification,90-100%,55<=,0,60,N,Pass,29325.385023898034,550.0
M,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,29325.385023898034,205.0
M,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,29325.385023898034,240.0
M,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,29325.385023898034,659.0
F,HE Qualification,80-90%,0-35,0,60,N,Pass,29325.385023898034,213.0
M,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,30300.0,663.0
F,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,29325.385023898034,151.0
M,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,29325.385023898034,111.0
M,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,30300.0,572.0
F,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,29325.385023898034,66.0
M,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,30300.0,212.0
M,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,29325.385023898034,365.0
F,A Level or Equivalent,10-20,0-35,0,60,N,Pass,29325.385023898034,1116.0
F,HE Qualification,10-20,0-35,0,60,N,Pass,29325.385023898034,273.0
M,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,30300.0,448.0
M,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,29325.385023898034,595.0
M,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,29325.385023898034,3784.0
M,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,29325.385023898034,127.0
F,HE Qualification,80-90%,0-35,0,120,N,Pass,29325.385023898034,425.0
F,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,29325.385023898034,921.0
M,HE Qualification,90-100%,55<=,0,60,N,Pass,29325.385023898034,2923.0
M,HE Qualification,40-50%,35-55,0,60,N,Pass,29325.385023898034,647.0
F,A Level or Equivalent,10-20,35-55,0,60,N,Pass,29325.385023898034,434.0
M,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,29325.385023898034,60.0
F,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,29325.385023898034,1570.0
F,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,29325.385023898034,386.0
M,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,29325.385023898034,46.0
M,HE Qualification,80-90%,0-35,0,60,N,Pass,29325.385023898034,170.0
F,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,29325.385023898034,241.0
F,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,29325.385023898034,244.0
F,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,29325.385023898034,966.0
M,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,29325.385023898034,511.0
M,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,29325.385023898034,115.0
M,Lower Than A Level,40-50%,0-35,0,180,N,Fail,29325.385023898034,0.0
F,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,30300.0,718.0
M,Lower Than A Level,50-60%,55<=,0,60,N,Pass,29325.385023898034,585.0
M,HE Qualification,0-10%,0-35,0,60,N,Pass,29325.385023898034,313.0
M,HE Qualification,70-80%,35-55,0,120,N,Pass,27200.0,881.0
M,A Level or Equivalent,10-20,0-35,0,60,N,Fail,29325.385023898034,28.0
M,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,29325.385023898034,105.0
M,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,29325.385023898034,465.0
M,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,29325.385023898034,162.0
F,HE Qualification,50-60%,35-55,0,120,N,Fail,29325.385023898034,106.0
M,HE Qualification,80-90%,35-55,0,60,N,Pass,29325.385023898034,189.0
M,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,29325.385023898034,195.0
M,A Level or Equivalent,10-20,0-35,0,60,N,Fail,29325.385023898034,43.0
M,Lower Than A Level,70-80%,35-55,0,60,N,Fail,29325.385023898034,209.0
F,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,29325.385023898034,398.0
M,Lower Than A Level,10-20,35-55,0,60,N,Pass,29325.385023898034,562.0
M,HE Qualification,40-50%,0-35,0,60,N,Pass,29325.385023898034,368.0
F,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,29325.385023898034,113.0
M,HE Qualification,50-60%,35-55,0,120,N,Fail,29325.385023898034,71.0
M,Lower Than A Level,0-10%,0-35,0,180,N,Pass,29325.385023898034,297.0
M,HE Qualification,,0-35,0,60,N,Distinction,29325.385023898034,890.0
F,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,29325.385023898034,407.0
M,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,29325.385023898034,342.0
M,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,29325.385023898034,140.0
M,Lower Than A Level,,0-35,0,120,N,Pass,27200.0,44.0
M,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,29325.385023898034,323.0
F,Lower Than A Level,80-90%,35-55,0,60,N,Pass,29325.385023898034,279.0
M,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,29325.385023898034,278.0
M,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn,29325.385023898034,323.0
M,A Level or Equivalent,70-80%,0-35,0,120,N,Fail,30300.0,154.0
F,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,29325.385023898034,420.0
M,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,29325.385023898034,238.0
M,HE Qualification,50-60%,0-35,0,180,N,Pass,29325.385023898034,184.0
M,Lower Than A Level,90-100%,0-35,0,240,N,Fail,29325.385023898034,220.0
F,Lower Than A Level,80-90%,0-35,0,60,N,Pass,29325.385023898034,451.0
M,Lower Than A Level,50-60%,35-55,0,60,N,Pass,29325.385023898034,582.0
M,Lower Than A Level,20-30%,35-55,0,120,N,Pass,29325.385023898034,375.0
M,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,29325.385023898034,359.0
M,A Level or Equivalent,90-100%,0-35,0,240,Y,Withdrawn,29325.385023898034,0.0
M,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,29325.385023898034,231.0
M,HE Qualification,0-10%,35-55,0,90,N,Withdrawn,30300.0,946.0
M,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail,29325.385023898034,106.0
F,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,29325.385023898034,84.0
F,A Level or Equivalent,70-80%,0-35,0,150,N,Pass,29325.385023898034,225.0
M,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,29325.385023898034,157.0
M,HE Qualification,80-90%,0-35,0,120,N,Withdrawn,29325.385023898034,552.0
M,HE Qualification,30-40%,0-35,0,60,N,Distinction,29325.385023898034,274.0
M,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,29325.385023898034,298.0
F,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,29325.385023898034,801.0
F,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,29325.385023898034,58.0
M,HE Qualification,80-90%,0-35,0,120,N,Pass,29325.385023898034,309.0
M,HE Qualification,80-90%,35-55,0,60,N,Pass,29325.385023898034,308.0
M,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,29325.385023898034,566.0
M,HE Qualification,90-100%,0-35,0,120,N,Pass,29325.385023898034,104.0
M,HE Qualification,40-50%,0-35,0,120,N,Pass,29325.385023898034,1022.0
M,HE Qualification,60-70%,0-35,0,60,N,Pass,29325.385023898034,427.0
M,HE Qualification,80-90%,0-35,0,120,N,Fail,30300.0,75.0
F,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,29325.385023898034,217.0
M,HE Qualification,70-80%,0-35,0,120,N,Pass,30300.0,159.0
M,HE Qualification,90-100%,0-35,0,120,N,Pass,27200.0,565.0
M,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,29325.385023898034,88.0
M,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,29325.385023898034,1187.0
M,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass,29325.385023898034,210.0
M,HE Qualification,,55<=,0,60,N,Withdrawn,29325.385023898034,254.0
M,Post Graduate Qualification,90-100%,35-55,0,60,N,Fail,29325.385023898034,276.0
M,HE Qualification,90-100%,55<=,0,120,N,Pass,29325.385023898034,746.0
M,A Level or Equivalent,60-70%,55<=,0,120,N,Distinction,30300.0,904.0
F,Lower Than A Level,50-60%,55<=,0,120,N,Withdrawn,29325.385023898034,1220.0
M,Lower Than A Level,70-80%,55<=,0,60,N,Pass,29325.385023898034,1258.0
M,A Level or Equivalent,60-70%,55<=,0,60,N,Distinction,30300.0,1668.0
F,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,29325.385023898034,707.0
F,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,29325.385023898034,391.0
M,HE Qualification,40-50%,35-55,0,60,N,Pass,29325.385023898034,168.0
F,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,29325.385023898034,157.0
M,A Level or Equivalent,80-90%,35-55,0,180,N,Withdrawn,29325.385023898034,584.0
F,HE Qualification,90-100%,35-55,0,60,N,Pass,30300.0,787.0
M,HE Qualification,90-100%,35-55,0,60,N,Pass,29325.385023898034,1730.0
F,Lower Than A Level,30-40%,35-55,0,60,N,Pass,29325.385023898034,388.0
M,HE Qualification,80-90%,55<=,0,60,N,Pass,29325.385023898034,571.0
M,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn,29325.385023898034,377.0
M,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,30300.0,164.0
F,HE Qualification,30-40%,35-55,0,60,N,Pass,29325.385023898034,371.0
F,A Level or Equivalent,10-20,35-55,0,120,N,Fail,29325.385023898034,782.0
M,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,29325.385023898034,462.0
M,HE Qualification,40-50%,35-55,0,120,N,Pass,30300.0,672.0
F,Lower Than A Level,40-50%,35-55,0,60,Y,Fail,29325.385023898034,62.0
M,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,29325.385023898034,952.0
F,Lower Than A Level,80-90%,35-55,0,60,N,Pass,29325.385023898034,1129.0
M,Lower Than A Level,90-100%,35-55,0,60,N,Pass,29325.385023898034,269.0
M,HE Qualification,90-100%,35-55,0,60,N,Fail,29325.385023898034,655.0
M,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,29325.385023898034,1668.0
M,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,30300.0,1378.0
F,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,29325.385023898034,637.0
F,HE Qualification,40-50%,35-55,0,60,N,Pass,29325.385023898034,575.0
M,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,29325.385023898034,359.0
M,Lower Than A Level,30-40%,35-55,0,75,N,Withdrawn,29325.385023898034,1353.0
F,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn,29325.385023898034,420.0
M,HE Qualification,70-80%,55<=,0,60,N,Pass,29325.385023898034,2221.0
M,HE Qualification,,35-55,0,60,N,Pass,27200.0,417.0
M,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,29325.385023898034,189.0
M,Lower Than A Level,40-50%,35-55,0,60,N,Pass,29325.385023898034,1048.0
M,Lower Than A Level,40-50%,35-55,0,300,Y,Pass,29325.385023898034,631.0
M,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,29325.385023898034,414.0
F,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass,29325.385023898034,317.0
F,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,29325.385023898034,763.0
M,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,29325.385023898034,707.0
F,Lower Than A Level,40-50%,35-55,0,120,Y,Pass,29325.385023898034,261.0
M,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn,30300.0,2920.0
M,Lower Than A Level,50-60%,35-55,0,120,N,Pass,27200.0,241.0
F,A Level or Equivalent,90-100%,0-35,0,60,Y,Pass,29325.385023898034,324.0
M,Lower Than A Level,30-40%,35-55,0,60,N,Pass,29325.385023898034,329.0
F,Lower Than A Level,70-80%,35-55,0,60,N,Pass,29325.385023898034,568.0
F,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,29325.385023898034,588.0
M,A Level or Equivalent,30-40%,35-55,0,330,Y,Withdrawn,29325.385023898034,1.0
F,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn,29325.385023898034,468.0
F,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,29325.385023898034,242.0
F,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,30300.0,364.0
F,Lower Than A Level,50-60%,35-55,0,60,N,Fail,29325.385023898034,938.0
M,Lower Than A Level,0-10%,35-55,0,60,N,Pass,30300.0,333.0
F,Lower Than A Level,80-90%,35-55,0,60,N,Distinction,29325.385023898034,977.0
M,A Level or Equivalent,50-60%,35-55,0,120,N,Withdrawn,29325.385023898034,289.0
F,Lower Than A Level,70-80%,35-55,0,60,N,Pass,29325.385023898034,511.0
M,HE Qualification,20-30%,55<=,0,60,N,Pass,29325.385023898034,544.0
M,A Level or Equivalent,70-80%,35-55,0,60,Y,Withdrawn,29325.385023898034,308.0
F,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,29325.385023898034,871.0
F,Lower Than A Level,80-90%,0-35,0,60,Y,Pass,30300.0,571.0
F,A Level or Equivalent,40-50%,0-35,0,120,N,Fail,29325.385023898034,186.0
F,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,29325.385023898034,300.0
F,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,29325.385023898034,1058.0
F,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,29325.385023898034,519.0
F,HE Qualification,30-40%,35-55,0,60,N,Pass,29325.385023898034,385.0
M,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,29325.385023898034,397.0
F,A Level or Equivalent,10-20,35-55,0,60,N,Pass,30300.0,797.0
F,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,29325.385023898034,970.0
F,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,29325.385023898034,473.0
M,Lower Than A Level,30-40%,35-55,0,60,N,Pass,29325.385023898034,195.0
M,A Level or Equivalent,90-100%,0-35,0,150,N,Pass,29325.385023898034,198.0
F,HE Qualification,20-30%,35-55,0,60,N,Withdrawn,29325.385023898034,281.0
M,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,29325.385023898034,0.0
F,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,29325.385023898034,0.0
F,Lower Than A Level,40-50%,35-55,0,120,N,Pass,29325.385023898034,239.0
F,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,29325.385023898034,234.0
M,Lower Than A Level,20-30%,35-55,0,60,N,Fail,29325.385023898034,557.0
F,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,29325.385023898034,136.0
F,HE Qualification,,0-35,0,60,N,Fail,29325.385023898034,386.0
F,A Level or Equivalent,70-80%,0-35,0,180,N,Withdrawn,29325.385023898034,309.0
F,HE Qualification,90-100%,0-35,0,60,Y,Pass,29325.385023898034,1889.0
M,HE Qualification,20-30%,0-35,0,300,N,Withdrawn,29325.385023898034,0.0
F,A Level or Equivalent,80-90%,0-35,0,120,N,Pass,29325.385023898034,327.0
F,Lower Than A Level,70-80%,35-55,0,60,N,Pass,29325.385023898034,801.0
F,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,29325.385023898034,329.0
M,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,29325.385023898034,314.0
F,A Level or Equivalent,80-90%,0-35,0,120,N,Fail,29325.385023898034,325.0
M,HE Qualification,20-30%,0-35,0,120,N,Withdrawn,29325.385023898034,855.0
M,Lower Than A Level,50-60%,35-55,0,90,N,Distinction,29325.385023898034,1330.0
F,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,29325.385023898034,484.0
M,A Level or Equivalent,10-20,35-55,0,120,Y,Withdrawn,29325.385023898034,491.0
F,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,29325.385023898034,687.0
F,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,29325.385023898034,115.0
M,Lower Than A Level,80-90%,35-55,0,120,N,Fail,29325.385023898034,95.0
M,Lower Than A Level,80-90%,35-55,0,180,N,Pass,29325.385023898034,466.0
M,Lower Than A Level,80-90%,35-55,0,60,N,Pass,29325.385023898034,782.0
M,HE Qualification,90-100%,55<=,0,60,N,Pass,29325.385023898034,822.0
M,HE Qualification,70-80%,55<=,0,60,N,Fail,29325.385023898034,453.0
F,Lower Than A Level,20-30%,35-55,0,60,N,Fail,29325.385023898034,98.0
F,HE Qualification,50-60%,55<=,0,60,N,Withdrawn,29325.385023898034,758.0
M,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,29325.385023898034,92.0
M,Lower Than A Level,80-90%,35-55,0,60,N,Pass,29325.385023898034,1015.0
M,Lower Than A Level,90-100%,0-35,0,120,N,Pass,29325.385023898034,569.0
